",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
198,citrus.csv,Missing,0.6,red,RidgeClassifier,1.0,,1.0,1.0,1.0
199,citrus.csv,Missing,0.6,red,LinearDiscriminantAnalysis,1.0,0.5016,1.0,1.0,1.0
200,citrus.csv,Missing,0.6,red,QuadraticDiscriminantAnalysis,1.0,0.5021,1.0,1.0,1.0
201,citrus.csv,Missing,0.6,red,GaussianNB,0.9465,0.4839,0.9504,0.9458,0.9481
202,citrus.csv,Missing,0.6,red,SVC,0.513,0.2893,0.0525,1.0,0.0998
203,citrus.csv,Missing,0.6,red,DummyClassifier,0.486,0.5,0.0,0.0,0.0
204,citrus.csv,Missing,0.8,red,LogisticRegression,1.0,0.4968,1.0,1.0,1.0
205,citrus.csv,Missing,0.8,red,RandomForestClassifier,1.0,0.4902,1.0,1.0,1.0
206,citrus.csv,Missing,0.8,red,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
207,citrus.csv,Missing,0.8,red,ExtraTreesClassifier,1.0,0.4864,1.0,1.0,1.0
208,citrus.csv,Missing,0.8,red,CatBoostClassifier,1.0,0.7163,1.0,1.0,1.0
209,citrus.csv,Missing,0.8,red,MLPClassifier,1.0,0.5034,1.0,1.0,1.0
210,citrus.csv,Missing,0.8,red,GaussianProcessClassifier,1.0,0.5045,1.0,1.0,1.0
211,citrus.csv,Missing,0.8,red,SGDClassifier,1.0,,1.0,1.0,1.0
212,citrus.csv,Missing,0.8,red,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
213,citrus.csv,Missing,0.8,red,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
214,citrus.csv,Missing,0.8,red,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
215,citrus.csv,Missing,0.8,red,RidgeClassifier,1.0,,1.0,1.0,1.0
216,citrus.csv,Missing,0.8,red,LinearDiscriminantAnalysis,1.0,0.5011,1.0,1.0,1.0
217,citrus.csv,Missing,0.8,red,QuadraticDiscriminantAnalysis,1.0,0.5026,1.0,1.0,1.0
218,citrus.csv,Missing,0.8,red,GaussianNB,0.946,0.4899,0.9514,0.944,0.9477
219,citrus.csv,Missing,0.8,red,SVC,0.5095,0.291,0.0457,1.0,0.0874
220,citrus.csv,Missing,0.8,red,DummyClassifier,0.486,0.5,0.0,0.0,0.0
221,citrus.csv,Missing,0.2,green,LogisticRegression,1.0,0.5082,1.0,1.0,1.0
222,citrus.csv,Missing,0.2,green,RandomForestClassifier,1.0,0.5053,1.0,1.0,1.0
223,citrus.csv,Missing,0.2,green,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
224,citrus.csv,Missing,0.2,green,ExtraTreesClassifier,1.0,0.5069,1.0,1.0,1.0
225,citrus.csv,Missing,0.2,green,CatBoostClassifier,1.0,0.7709,1.0,1.0,1.0
226,citrus.csv,Missing,0.2,green,MLPClassifier,1.0,0.5027,1.0,1.0,1.0
227,citrus.csv,Missing,0.2,green,GaussianProcessClassifier,1.0,0.505,1.0,1.0,1.0
228,citrus.csv,Missing,0.2,green,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
229,citrus.csv,Missing,0.2,green,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
230,citrus.csv,Missing,0.2,green,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
231,citrus.csv,Missing,0.2,green,RidgeClassifier,1.0,,1.0,1.0,1.0
232,citrus.csv,Missing,0.2,green,LinearDiscriminantAnalysis,1.0,0.5016,1.0,1.0,1.0
233,citrus.csv,Missing,0.2,green,QuadraticDiscriminantAnalysis,1.0,0.5021,1.0,1.0,1.0
234,citrus.csv,Missing,0.2,green,SGDClassifier,0.997,,1.0,0.9942,0.9971
235,citrus.csv,Missing,0.2,green,GaussianNB,0.9465,0.4837,0.9514,0.9449,0.9481
236,citrus.csv,Missing,0.2,green,SVC,0.512,0.3068,0.0506,1.0,0.0963
237,citrus.csv,Missing,0.2,green,DummyClassifier,0.486,0.5,0.0,0.0,0.0
238,citrus.csv,Missing,0.4,green,LogisticRegression,1.0,0.5071,1.0,1.0,1.0
239,citrus.csv,Missing,0.4,green,ExtraTreesClassifier,1.0,0.5151,1.0,1.0,1.0
240,citrus.csv,Missing,0.4,green,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
241,citrus.csv,Missing,0.4,green,CatBoostClassifier,1.0,0.7785,1.0,1.0,1.0
242,citrus.csv,Missing,0.4,green,RandomForestClassifier,1.0,0.5208,1.0,1.0,1.0
243,citrus.csv,Missing,0.4,green,GaussianProcessClassifier,1.0,0.506,1.0,1.0,1.0
244,citrus.csv,Missing,0.4,green,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
245,citrus.csv,Missing,0.4,green,MLPClassifier,1.0,0.5205,1.0,1.0,1.0
246,citrus.csv,Missing,0.4,green,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
247,citrus.csv,Missing,0.4,green,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
248,citrus.csv,Missing,0.4,green,SGDClassifier,0.976,,0.9533,1.0,0.9761
249,citrus.csv,Missing,0.4,green,RidgeClassifier,1.0,,1.0,1.0,1.0
250,citrus.csv,Missing,0.4,green,LinearDiscriminantAnalysis,1.0,0.5021,1.0,1.0,1.0
251,citrus.csv,Missing,0.4,green,QuadraticDiscriminantAnalysis,1.0,0.5021,1.0,1.0,1.0
252,citrus.csv,Missing,0.4,green,GaussianNB,0.946,0.4829,0.9494,0.9457,0.9476
253,citrus.csv,Missing,0.4,green,SVC,0.5125,0.3134,0.0516,1.0,0.0981
254,citrus.csv,Missing,0.4,green,DummyClassifier,0.486,0.5,0.0,0.0,0.0
255,citrus.csv,Missing,0.6,green,LogisticRegression,1.0,0.5051,1.0,1.0,1.0
256,citrus.csv,Missing,0.6,green,ExtraTreesClassifier,1.0,0.5191,1.0,1.0,1.0
257,citrus.csv,Missing,0.6,green,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
258,citrus.csv,Missing,0.6,green,CatBoostClassifier,1.0,0.734,1.0,1.0,1.0
259,citrus.csv,Missing,0.6,green,RandomForestClassifier,1.0,0.5135,1.0,1.0,1.0
260,citrus.csv,Missing,0.6,green,MLPClassifier,1.0,0.4926,1.0,1.0,1.0
261,citrus.csv,Missing,0.6,green,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
262,citrus.csv,Missing,0.6,green,GaussianProcessClassifier,1.0,0.507,1.0,1.0,1.0
263,citrus.csv,Missing,0.6,green,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
264,citrus.csv,Missing,0.6,green,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
265,citrus.csv,Missing,0.6,green,RidgeClassifier,1.0,,1.0,1.0,1.0
266,citrus.csv,Missing,0.6,green,LinearDiscriminantAnalysis,1.0,0.5021,1.0,1.0,1.0
267,citrus.csv,Missing,0.6,green,QuadraticDiscriminantAnalysis,1.0,0.5021,1.0,1.0,1.0
268,citrus.csv,Missing,0.6,green,SGDClassifier,1.0,,1.0,1.0,1.0
269,citrus.csv,Missing,0.6,green,GaussianNB,0.9455,0.4836,0.9494,0.9448,0.9471
